LncRNA,Environmental factors,P value (FDR correction)
RP11-498P14.3,BPA,0.0000 
RP11-498P14.3,DDT,0.0000 
RP11-498P14.3,E2,0.0000 
XXbac-BPG300A18.13,BPA,0.0000 
XXbac-BPG300A18.13,DDT,0.0000 
XXbac-BPG300A18.13,E2,0.0000 
AC084219.4,hypoxia,0.0000 
LINC00263,BPA,0.0000 
LINC00263,DDT,0.0000 
LINC00263,E2,0.0000 
SCARNA10,BPA,0.0000 
SCARNA10,DDT,0.0000 
SCARNA10,E2,0.0000 
CTD-3138B18.5,Estradiol (E2),0.0000 
RP11-727A23.5,radiation,0.0000 
TTTY15,radiation,0.0000 
AC074117.10,ionising radiation,0.0000 
CDKN2B-AS1,ionising radiation,0.0000 
RP13-507I23.1,radiation,0.0000 
XIST,Arsenic trioxide,0.0000 
SCARNA10,radiation,0.0000 
CTD-3138B18.5,BPA,0.0000 
CTD-3138B18.5,DDT,0.0000 
CTD-3138B18.5,E2,0.0000 
SNHG16,ionising radiation,0.0000 
RP11-996F15.2,radiation,0.0000 
CTD-2270L9.5,ionising radiation,0.0000 
RP11-27I1.2,BPA,0.0000 
RP11-27I1.2,DDT,0.0000 
RP11-27I1.2,E2,0.0000 
RP11-819C21.1,ionising radiation,0.0000 
UBXN8,ionising radiation,0.0000 
RP11-282O18.6,BPA,0.0000 
RP11-282O18.6,DDT,0.0000 
RP11-282O18.6,E2,0.0000 
RP11-834C11.4,BPA,0.0000 
RP11-834C11.4,DDT,0.0000 
RP11-834C11.4,E2,0.0000 
RP11-492E3.1,radiation,0.0000 
BX322557.10,paclitaxel,0.0000 
RP11-214O1.2,radiation,0.0000 
RP11-452L6.5,radiation,0.0000 
PTCHD3P1,ionising radiation,0.0000 
RP11-492E3.1,ionising radiation,0.0000 
RP11-923I11.1,BPA,0.0000 
RP11-923I11.1,DDT,0.0000 
RP11-923I11.1,E2,0.0000 
AC105760.2,BPA,0.0000 
AC105760.2,DDT,0.0000 
AC105760.2,E2,0.0000 
RP11-492E3.1,Etoposide,0.0000 
ZNF252P-AS1,iron- and aluminum-sulfate,0.0000 
RP11-264B17.3,BPA,0.0000 
RP11-264B17.3,DDT,0.0000 
RP11-264B17.3,E2,0.0000 
RP11-197N18.2,ionising radiation,0.0000 
RP11-618G20.1,Imatinib,0.0000 
RP11-315C6.3,paclitaxel,0.0000 
RP11-277P12.20,radiation,0.0000 
RP11-457M11.2,radiation,0.0000 
RP11-498P14.3,radiation,0.0000 
XXbac-BPG300A18.13,radiation,0.0000 
RP11-1103G16.1,radiation,0.0000 
HOXA11-AS,ionising radiation,0.0000 
MAL2,ionising radiation,0.0000 
CDKN2B-AS1,radiation,0.0000 
AC074117.10,BPA,0.0000 
AC074117.10,DDT,0.0000 
AC074117.10,E2,0.0000 
CDKN2B-AS1,BPA,0.0000 
CDKN2B-AS1,DDT,0.0000 
CDKN2B-AS1,E2,0.0000 
AC007036.5,TGF-beta1,0.0000 
AP000304.2,TGF-beta1,0.0000 
RP4-665N4.8,TGF-beta1,0.0000 
LINC00263,radiation,0.0000 
RP11-1103G16.1,Retinoic Acid,0.0000 
LINC00665,ionising radiation,0.0000 
CTD-2270L9.5,BPA,0.0000 
CTD-2270L9.5,DDT,0.0000 
CTD-2270L9.5,E2,0.0000 
RP11-819C21.1,BPA,0.0000 
RP11-819C21.1,DDT,0.0000 
RP11-819C21.1,E2,0.0000 
UBXN8,BPA,0.0000 
UBXN8,DDT,0.0000 
UBXN8,E2,0.0000 
CDKN2B-AS1,Arsenic trioxide,0.0000 
RP11-213H15.3,Imatinib,0.0000 
RP11-264B17.3,radiation,0.0000 
LINC00473,Retinoic Acid,0.0000 
RP11-819C21.1,radiation,0.0000 
CTD-2339L15.1,TGF-beta1,0.0000 
CTD-2517M14.5,TGF-beta1,0.0000 
MIAT,TGF-beta1,0.0000 
MLLT4-AS1,TGF-beta1,0.0000 
CTD-3138B18.5,radiation,0.0000 
AC105760.2,Estradiol (E2),0.0000 
NR2F2-AS1,Epigallocatechin gallate (EGCG),0.0000 
RP11-173M1.8,Epigallocatechin gallate (EGCG),0.0000 
RP11-69E11.4,Epigallocatechin gallate (EGCG),0.0000 
ZNF518A,ionising radiation,0.0000 
RP11-923I11.1,Retinoic Acid,0.0000 
PTCHD3P1,BPA,0.0000 
PTCHD3P1,DDT,0.0000 
PTCHD3P1,E2,0.0000 
RP11-492E3.1,BPA,0.0000 
RP11-492E3.1,DDT,0.0000 
RP11-492E3.1,E2,0.0000 
SPPL2B,Epigallocatechin gallate (EGCG),0.0000 
HOXA11-AS,radiation,0.0000 
RP11-540O11.1,Retinoic Acid,0.0000 
RP11-282O18.6,radiation,0.0000 
SNHG16,Estradiol (E2),0.0000 
AC092835.2,Imatinib,0.0000 
RP11-197N18.2,BPA,0.0000 
RP11-197N18.2,DDT,0.0000 
RP11-197N18.2,E2,0.0000 
LIFR-AS1,TGF-beta1,0.0000 
RP11-303E16.8,TGF-beta1,0.0000 
RP11-478C19.2,Imatinib,0.0000 
PTCHD3P1,Estradiol (E2),0.0000 
CTD-2116N17.1,Imatinib,0.0000 
HOXA11-AS,BPA,0.0000 
HOXA11-AS,DDT,0.0000 
HOXA11-AS,E2,0.0000 
MAL2,BPA,0.0000 
MAL2,DDT,0.0000 
MAL2,E2,0.0000 
AC012065.7,Epigallocatechin gallate (EGCG),0.0000 
LINC00680,Epigallocatechin gallate (EGCG),0.0000 
RP11-400F19.8,Epigallocatechin gallate (EGCG),0.0000 
AC005076.5,methacrylic,0.0000 
AC007246.3,methacrylic,0.0000 
ZNRD1-AS1,iron- and aluminum-sulfate,0.0000 
ZNF252P-AS1,Arsenic,0.0000 
MIR4720,ionising radiation,0.0000 
RP13-507I23.1,BPA,0.0000 
RP13-507I23.1,DDT,0.0000 
RP13-507I23.1,E2,0.0000 
RP4-773N10.5,paclitaxel,0.0000 
AC105760.2,radiation,0.0000 
RP11-290F20.1,TGF-beta1,0.0000 
RP11-66D17.5,gemcitabine,0.0000 
RP11-480D4.3,fludarabine,0.0000 
AC005154.6,Epigallocatechin gallate (EGCG),0.0000 
C14orf169,gefitinib,0.0000 
RP11-727A23.5,Etoposide,0.0000 
TTTY15,Etoposide,0.0000 
RP11-473I1.10,ionising radiation,0.0000 
LINC00665,radiation,0.0000 
RP11-27I1.2,Retinoic Acid,0.0000 
RP11-1103G16.1,Etoposide,0.0000 
NUTM2A-AS1,BPA,0.0000 
NUTM2A-AS1,DDT,0.0000 
NUTM2A-AS1,E2,0.0000 
CTD-2270L9.5,radiation,0.0000 
RP11-27I1.2,radiation,0.0000 
UBXN8,radiation,0.0000 
LINC00665,BPA,0.0000 
LINC00665,DDT,0.0000 
LINC00665,E2,0.0000 
AC079767.2,doxorubicin (Dox),0.0000 
SETD5-AS1,Imatinib,0.0000 
AC012146.7,TGF-beta1,0.0000 
HOXA-AS3,TGF-beta1,0.0000 
SIK3-IT1,TGF-beta1,0.0000 
CBR3-AS1,Epigallocatechin gallate (EGCG),0.0000 
RP11-497H16.9,Epigallocatechin gallate (EGCG),0.0000 
RP11-66D17.5,Epigallocatechin gallate (EGCG),0.0000 
RP11-996F15.2,Etoposide,0.0000 
AC005154.6,gemcitabine,0.0000 
RP11-834C11.4,radiation,0.0000 
AC017048.3,methacrylic,0.0000 
MATN1-AS1,paclitaxel-carboplatin,0.0000 
RP11-1055B8.4,pyruvate kinase type M2 (PKM2),0.0000 
RP11-256L11.3,Glucocorticoids (GCs),0.0000 
RP11-299M14.2,methacrylic,0.0000 
RP11-373L8.2,Glucocorticoids (GCs),0.0000 
RP11-429J17.7,paclitaxel-carboplatin,0.0000 
RP11-511P7.2,methacrylic,0.0000 
SLC38A3,pyruvate kinase type M2 (PKM2),0.0000 
SOS1-IT1,Glucocorticoids (GCs),0.0000 
RP11-473I1.10,Estradiol (E2),0.0000 
RP11-727A23.5,Estradiol (E2),0.0000 
TTTY15,Estradiol (E2),0.0000 
DLX6-AS1,hypoxia,0.0000 
AC104389.28,gemcitabine,0.0000 
AC121336.2,fludarabine,0.0000 
RP11-715F3.2,fludarabine,0.0000 
CTD-3064H18.1,Estradiol (E2),0.0000 
RP11-227G15.3,TGF-beta1,0.0000 
RP1-178F10.3,hypoxia,0.0000 
AD000090.2,Estradiol (E2),0.0000 
RP11-214O1.2,Etoposide,0.0000 
RP11-452L6.5,Etoposide,0.0000 
CTD-2538C1.2,Imatinib,0.0000 
AC074117.10,radiation,0.0001 
AC121336.2,Imatinib,0.0001 
RP11-715F3.2,Imatinib,0.0001 
LINC00341,gemcitabine,0.0001 
AC000068.5,Epigallocatechin gallate (EGCG),0.0001 
LINC00341,Epigallocatechin gallate (EGCG),0.0001 
TMPO-AS1,Epigallocatechin gallate (EGCG),0.0001 
PSMD6-AS2,fludarabine,0.0001 
HOXA-AS4,TGF-beta1,0.0001 
RP11-429J17.2,TGF-beta1,0.0001 
RP11-923I11.1,radiation,0.0001 
RP11-277P12.20,Etoposide,0.0001 
RP11-457M11.2,Etoposide,0.0001 
RP11-498P14.3,Etoposide,0.0001 
XXbac-BPG300A18.13,Etoposide,0.0001 
AC105760.2,irradiation,0.0001 
AC093642.3,methacrylic,0.0001 
MIR3179-1,Glucocorticoids (GCs),0.0001 
MIR3179-2,Glucocorticoids (GCs),0.0001 
RP11-658F2.8,methacrylic,0.0001 
RP11-767N6.7,Glucocorticoids (GCs),0.0001 
USP6NL-IT1,HCV,0.0001 
LINC00662,curcumin,0.0001 
LINC00263,Estradiol (E2),0.0001 
AF011889.4,heat stress,0.0001 
HNRNPU-AS1,Imatinib,0.0001 
RP11-996F15.2,Estradiol (E2),0.0001 
CASP8AP2,ionising radiation,0.0001 
LINC00680,gemcitabine,0.0001 
RP11-819C21.1,Estradiol (E2),0.0001 
SNHG16,Retinoic Acid,0.0001 
RP11-311C24.1,Imatinib,0.0001 
RP11-373L24.1,Imatinib,0.0001 
GS1-124K5.11,TGF-beta1,0.0001 
PTCHD3P1,Arsenic trioxide,0.0001 
LINC00263,Etoposide,0.0001 
SCARNA10,Etoposide,0.0001 
CDKN2B-AS1,Retinoic Acid,0.0001 
RP11-480D4.3,Imatinib,0.0001 
INTS6-AS1,fludarabine,0.0001 
RP11-415J8.7,fludarabine,0.0001 
ALMS1-IT1,gemcitabine,0.0001 
RP11-473I1.10,radiation,0.0001 
RP4-785G19.5,Imatinib,0.0001 
NEAT1,Estradiol (E2),0.0001 
C11orf95,paclitaxel,0.0001 
CTB-89H12.4,hypoxia,0.0001 
HOXA11-AS,Etoposide,0.0001 
RP11-618G20.1,fludarabine,0.0001 
AC093323.3,Epigallocatechin gallate (EGCG),0.0001 
RP1-228H13.5,Epigallocatechin gallate (EGCG),0.0001 
WAC-AS1,Epigallocatechin gallate (EGCG),0.0001 
AC005076.5,sulindac sulfide,0.0001 
AC007246.3,sulindac sulfide,0.0001 
KB-431C1.4,HCV,0.0001 
RP11-15H20.6,pyruvate kinase type M2 (PKM2),0.0001 
RP11-622K12.1,methacrylic,0.0001 
ZNF252P-AS1,methacrylic,0.0001 
AP001065.2,hypoxia,0.0001 
ALMS1-IT1,Epigallocatechin gallate (EGCG),0.0001 
CASP8AP2,paclitaxel,0.0001 
MIR4720,BPA,0.0001 
MIR4720,DDT,0.0001 
MIR4720,E2,0.0001 
CT49,paclitaxel,0.0001 
CTD-2162K18.5,paclitaxel,0.0001 
HOXA-AS2,paclitaxel,0.0001 
RP11-509J21.3,paclitaxel,0.0001 
AC079117.1,fludarabine,0.0001 
CTD-2538C1.2,fludarabine,0.0001 
RP11-213H15.3,fludarabine,0.0001 
RP11-214O1.2,Estradiol (E2),0.0001 
RP11-452L6.5,Estradiol (E2),0.0001 
AC093323.3,gemcitabine,0.0002 
RP1-228H13.5,gemcitabine,0.0002 
PSMD6-AS2,Imatinib,0.0002 
TRAF3IP2-AS1,Epigallocatechin gallate (EGCG),0.0002 
LINC00511,TGF-beta1,0.0002 
U47924.19,TGF-beta1,0.0002 
RP11-213H15.3,exercise,0.0002 
AC005076.5,iron- and aluminum-sulfate,0.0002 
AC007246.3,iron- and aluminum-sulfate,0.0002 
CERS6-AS1,thyrotropin,0.0002 
CTD-2339L15.3,thyrotropin,0.0002 
CTD-3064H18.1,Glucocorticoids (GCs),0.0002 
GS1-259H13.2,Glucocorticoids (GCs),0.0002 
LINC00649,thyrotropin,0.0002 
MEG8,thyrotropin,0.0002 
RP11-155D18.12,thyrotropin,0.0002 
RP11-244H3.1,thyrotropin,0.0002 
RP11-329L6.1,thyrotropin,0.0002 
RP5-1148A21.3,thyrotropin,0.0002 
RP6-206I17.2,thyrotropin,0.0002 
CTD-3138B18.5,Etoposide,0.0002 
RP11-473I1.10,BPA,0.0002 
RP11-473I1.10,DDT,0.0002 
RP11-473I1.10,E2,0.0002 
RP11-429D19.1,paclitaxel,0.0002 
AC104389.28,Epigallocatechin gallate (EGCG),0.0002 
SNHG12,Epigallocatechin gallate (EGCG),0.0002 
RP1-265C24.9,Imatinib,0.0002 
AC007036.5,progestin,0.0002 
AL022344.4,anabolic stimulus,0.0002 
AP000304.2,progestin,0.0002 
FLI1-AS1,anabolic stimulus,0.0002 
RP11-331F9.10,anabolic stimulus,0.0002 
RP4-665N4.8,progestin,0.0002 
LINC00662,hypoxia,0.0002 
RP13-507I23.1,Etoposide,0.0002 
RP13-507I23.1,Retinoic Acid,0.0002 
CTD-2270L9.5,Etoposide,0.0002 
RP11-27I1.2,Etoposide,0.0002 
RP11-819C21.1,Etoposide,0.0002 
AC006262.5,fludarabine,0.0002 
AC079767.2,fludarabine,0.0002 
AC092835.2,fludarabine,0.0002 
RP4-785G19.5,fludarabine,0.0002 
MAL2,radiation,0.0002 
RP11-218M22.1,drug,0.0002 
RP11-2C24.4,curcumin,0.0002 
RP11-869B15.1,curcumin,0.0002 
SETD5-AS1,fludarabine,0.0002 
SNHG16,BPA,0.0002 
SNHG16,DDT,0.0002 
SNHG16,E2,0.0002 
HCP5,irradiation,0.0002 
RP11-282O18.6,Etoposide,0.0002 
AC005083.1,paclitaxel,0.0002 
RP5-1024G6.5,paclitaxel,0.0002 
RP11-923I11.1,Estradiol (E2),0.0002 
KB-1460A1.5,paclitaxel,0.0002 
RP11-96D1.6,paclitaxel,0.0002 
RP11-834C11.4,Etoposide,0.0002 
AC005076.5,Ethanol,0.0002 
AC005537.2,thyrotropin,0.0002 
AC007246.3,Ethanol,0.0002 
AC011893.3,thyrotropin,0.0002 
AC074093.1,thyrotropin,0.0002 
AC091878.1,thyrotropin,0.0002 
CTC-246B18.8,thyrotropin,0.0002 
CTC-429P9.3,thyrotropin,0.0002 
CTD-2201E18.3,thyrotropin,0.0002 
ERVK13-1,thyrotropin,0.0002 
IQCH-AS1,thyrotropin,0.0002 
RASAL2-AS1,thyrotropin,0.0002 
RP11-282O18.3,medroxyprogesterone acetate (MPA),0.0002 
RP11-43D2.6,thyrotropin,0.0002 
RP11-474P12.5,thyrotropin,0.0002 
RP11-60I3.5,thyrotropin,0.0002 
RP1-310O13.12,thyrotropin,0.0002 
PVT1,hypoxia,0.0002 
ZNF518A,Estradiol (E2),0.0003 
RP11-347I19.3,TGF-beta1,0.0003 
RP11-480D4.3,TGF-beta1,0.0003 
ZNF761,TGF-beta1,0.0003 
AC084219.4,irradiation,0.0003 
RP13-507I23.1,Arsenic trioxide,0.0003 
CDKN2B-AS1,metformin,0.0003 
RP11-277P12.20,Estradiol (E2),0.0003 
RP11-457M11.2,Estradiol (E2),0.0003 
RP11-498P14.3,Estradiol (E2),0.0003 
XXbac-BPG300A18.13,Estradiol (E2),0.0003 
AC009299.3,fludarabine,0.0003 
RP1-265C24.9,fludarabine,0.0003 
TINCR,hydroxycamptothecin (HCPT),0.0003 
ZNF883,fludarabine,0.0003 
SNHG12,hypoxia,0.0003 
RP11-102F4.3,irradiation,0.0003 
MAGI1-IT1,paclitaxel,0.0003 
RP11-399O19.8,paclitaxel,0.0003 
NUTM2A-AS1,Retinoic Acid,0.0003 
CTD-3014M21.4,Epigallocatechin gallate (EGCG),0.0003 
RP11-1149O23.3,Epigallocatechin gallate (EGCG),0.0003 
CTD-2116N17.1,fludarabine,0.0003 
CTC-503J8.6,5-Aza-CdR and/or PBA,0.0003 
AC007036.5,HIV,0.0003 
AC017048.3,sulindac sulfide,0.0003 
AP000304.2,HIV,0.0003 
CTD-2630F21.1,paclitaxel-carboplatin,0.0003 
RP11-18F14.2,paclitaxel-carboplatin,0.0003 
RP11-256L11.3,cocaine,0.0003 
RP11-299M14.2,sulindac sulfide,0.0003 
RP11-305E6.4,paclitaxel-carboplatin,0.0003 
RP11-373L8.2,cocaine,0.0003 
RP11-403I13.8,Human T-lymphotropic virus type 1 (HTLV-1),0.0003 
RP11-511P7.2,sulindac sulfide,0.0003 
RP4-665N4.8,HIV,0.0003 
SOS1-IT1,cocaine,0.0003 
HNRNPU-AS1,exercise,0.0003 
INTS6-AS1,Imatinib,0.0003 
RP11-415J8.7,Imatinib,0.0003 
NR2F2-AS1,gemcitabine,0.0003 
RP11-173M1.8,gemcitabine,0.0003 
RP11-69E11.4,gemcitabine,0.0003 
RP11-473I1.10,metformin,0.0003 
CTD-2516F10.2,thyrotropin,0.0003 
LL22NC03-N27C7.1,thyrotropin,0.0003 
PDXDC2P,thyrotropin,0.0003 
RP11-549J18.1,thyrotropin,0.0003 
RP11-697M17.1,thyrotropin,0.0003 
RP5-1028K7.2,thyrotropin,0.0003 
RP11-1103G16.1,Estradiol (E2),0.0003 
RP11-68L18.1,paclitaxel,0.0003 
RP11-80H5.7,paclitaxel,0.0003 
AC092835.2,exercise,0.0003 
RP11-492E3.1,Arsenic trioxide,0.0003 
PVT1,irradiation,0.0003 
YLPM1,Retinoic Acid,0.0004 
RP11-21N3.1,Retinoic Acid,0.0004 
PTCHD3P1,Retinoic Acid,0.0004 
RP11-923I11.1,Etoposide,0.0004 
ZNRD1-AS1,drug,0.0004 
SNHG12,gemcitabine,0.0004 
CTBP1-AS1,hypoxia,0.0004 
SETD5-AS1,hypoxia,0.0004 
AC016747.3,gefitinib,0.0004 
CTD-2339L15.1,progestin,0.0004 
CTD-2517M14.5,progestin,0.0004 
LINC00482,anabolic stimulus,0.0004 
MIAT,progestin,0.0004 
MLLT4-AS1,progestin,0.0004 
AC005154.5,TGF-beta1,0.0004 
AC105760.2,Etoposide,0.0004 
LINC00313,Epigallocatechin gallate (EGCG),0.0004 
ZNF518A,BPA,0.0004 
ZNF518A,DDT,0.0004 
ZNF518A,E2,0.0004 
RP11-363E7.4,irradiation,0.0004 
AC003092.1,thyrotropin,0.0004 
AC090587.2,thyrotropin,0.0004 
AC113189.5,thyrotropin,0.0004 
AP001619.2,heat stress,0.0004 
CTB-50E14.6,thyrotropin,0.0004 
DLG1-AS1,thyrotropin,0.0004 
HOXA-AS4,HCV,0.0004 
KIF9-AS1,thyrotropin,0.0004 
LINC00240,Glucocorticoids (GCs),0.0004 
MIR497HG,thyrotropin,0.0004 
NPPA-AS1,heat stress,0.0004 
RP11-18A3.4,thyrotropin,0.0004 
RP11-18I14.7,heat stress,0.0004 
RP11-2C24.4,thyrotropin,0.0004 
RP11-383J24.5,thyrotropin,0.0004 
RP11-38J22.6,thyrotropin,0.0004 
RP11-461L13.3,thyrotropin,0.0004 
RP11-543D5.2,thyrotropin,0.0004 
RP11-66B24.4,thyrotropin,0.0004 
RP11-677M14.3,thyrotropin,0.0004 
RP11-869B15.1,nicotine,0.0004 
RP11-869B15.1,thyrotropin,0.0004 
RP3-486L4.3,thyrotropin,0.0004 
SCARNA10,Estradiol (E2),0.0004 
RP11-701H24.2,paclitaxel,0.0004 
CDKN2B-AS1,5-aza-2'-deoxycytidine ,0.0005 
AF011889.4,Arsenic trioxide,0.0005 
RP11-305N23.1,paclitaxel,0.0005 
CTD-2270L9.5,metformin,0.0005 
RP11-303E16.2,Epigallocatechin gallate (EGCG),0.0005 
RP11-349A22.5,Epigallocatechin gallate (EGCG),0.0005 
RP11-510M2.10,Epigallocatechin gallate (EGCG),0.0005 
RP11-54O7.3,Epigallocatechin gallate (EGCG),0.0005 
UBXN8,metformin,0.0005 
AC017048.3,iron- and aluminum-sulfate,0.0005 
CTD-3099C6.9,paclitaxel-carboplatin,0.0005 
RP11-299M14.2,iron- and aluminum-sulfate,0.0005 
RP11-511P7.2,iron- and aluminum-sulfate,0.0005 
RP11-264B17.3,Etoposide,0.0005 
RP11-615I2.7,Imatinib,0.0005 
RP11-834C11.4,Estradiol (E2),0.0005 
CTD-2622I13.3,Cyclic mechanical stress (CMS),0.0005 
CTD-2622I13.3,gamma-irradiation and genotoxic drugs,0.0005 
CTD-2622I13.3,methotrexate (MTX),0.0005 
RP11-199F11.2,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0005 
RP11-199F11.2,serum starvation and chemotherapeutic drug,0.0005 
RP11-498E2.8,fulvestrant,0.0005 
RP11-529K1.2,fulvestrant,0.0005 
RP13-49I15.5,As2O3,0.0005 
RP4-659J6.2,"LPS, peptidoglycan, or polyinosinic-polycytidylic acid",0.0005 
RP4-659J6.2,serum starvation and chemotherapeutic drug,0.0005 
RP5-842K24.2,Cyclic mechanical stress (CMS),0.0005 
RP5-842K24.2,gamma-irradiation and genotoxic drugs,0.0005 
RP5-842K24.2,methotrexate (MTX),0.0005 
TAPT1-AS1,Cyclic mechanical stress (CMS),0.0005 
TAPT1-AS1,gamma-irradiation and genotoxic drugs,0.0005 
TAPT1-AS1,methotrexate (MTX),0.0005 
RP11-106M3.2,Imatinib,0.0005 
RP11-1103G16.1,curcumin,0.0005 
EMG1,TGF-beta1,0.0005 
RP11-690G19.3,TGF-beta1,0.0005 
PPP1R9B,gemcitabine,0.0005 
AC004383.4,thyrotropin,0.0005 
AP000721.4,thyrotropin,0.0005 
CTD-2574D22.4,thyrotropin,0.0005 
GS1-124K5.11,thyrotropin,0.0005 
HCG17,thyrotropin,0.0005 
LINC00473,thyrotropin,0.0005 
RP11-204M4.2,thyrotropin,0.0005 
RP11-91G21.2,thyrotropin,0.0005 
RP11-983P16.4,thyrotropin,0.0005 
SEMA3B,thyrotropin,0.0005 
AC005943.5,fludarabine,0.0005 
ZNF761,HIV,0.0005 
RP11-615I2.7,hypoxia,0.0005 
AC005154.6,fludarabine,0.0005 
CASP8AP2,BPA,0.0005 
CASP8AP2,DDT,0.0005 
CASP8AP2,E2,0.0005 
RP11-197N18.2,radiation,0.0005 
TUG1,TGF-beta1,0.0006 
AC003092.1,Retinoic Acid,0.0006 
CTB-50E14.6,Retinoic Acid,0.0006 
CTD-2538C1.2,Retinoic Acid,0.0006 
DLG1-AS1,Retinoic Acid,0.0006 
RP11-383J24.5,Retinoic Acid,0.0006 
RP11-461L13.3,Retinoic Acid,0.0006 
RP11-543D5.2,Retinoic Acid,0.0006 
RP11-677M14.3,Retinoic Acid,0.0006 
RP3-486L4.3,Retinoic Acid,0.0006 
AC079117.1,Imatinib,0.0006 
XXbac-B461K10.4,curcumin,0.0006 
AC093642.3,sulindac sulfide,0.0006 
CTD-2339L15.1,HIV,0.0006 
CTD-2517M14.5,HIV,0.0006 
LIFR-AS1,progestin,0.0006 
MIAT,HIV,0.0006 
MIR3179-1,cocaine,0.0006 
MIR3179-2,cocaine,0.0006 
MLLT4-AS1,HIV,0.0006 
RP11-303E16.8,progestin,0.0006 
RP11-658F2.8,sulindac sulfide,0.0006 
RP11-767N6.7,cocaine,0.0006 
RP11-902B17.1,anabolic stimulus,0.0006 
AD000090.2,gefitinib,0.0006 
AC121336.2,Tamoxifen,0.0006 
RP11-715F3.2,Tamoxifen,0.0006 
RP5-1172N10.3,hypoxia,0.0006 
RP11-139H15.1,paclitaxel,0.0006 
DLX6-AS1,curcumin,0.0006 
AP001065.2,thyrotropin,0.0006 
AP001619.2,hydroxycamptothecin (HCPT),0.0006 
APCDD1L-AS1,paclitaxel,0.0006 
CTC-308K20.1,paclitaxel,0.0006 
NPPA-AS1,hydroxycamptothecin (HCPT),0.0006 
RP11-109M17.2,paclitaxel,0.0006 
RP11-125K10.4,Glucocorticoids (GCs),0.0006 
RP11-125K10.4,thyrotropin,0.0006 
RP11-18I14.7,hydroxycamptothecin (HCPT),0.0006 
RP11-203J24.9,cytomegalovirus,0.0006 
RP11-282K24.3,Glucocorticoids (GCs),0.0006 
RP11-282K24.3,thyrotropin,0.0006 
RP11-453E17.1,thyrotropin,0.0006 
RP11-477D19.2,thyrotropin,0.0006 
RP11-53I6.2,Glucocorticoids (GCs),0.0006 
RP11-540O11.1,thyrotropin,0.0006 
AC017048.3,Ethanol,0.0006 
RP11-282O18.3,E2?182780,0.0006 
RP11-282O18.3,ICI-182780 (Fulvestrant),0.0006 
RP11-282O18.3,MPA486,0.0006 
RP11-282O18.3,RU486 (Mifepristone),0.0006 
RP11-299M14.2,Ethanol,0.0006 
RP11-511P7.2,Ethanol,0.0006 
RP5-1061H20.4,gefitinib,0.0006 
CTA-204B4.6,ionising radiation,0.0007 
RP11-311C24.1,fludarabine,0.0007 
RP11-373L24.1,fludarabine,0.0007 
ZNRD1-AS1,hypoxia,0.0007 
RP11-145M9.4,cisplatin,0.0007 
RP11-145M9.4,cisplatin ,0.0007 
RP11-588K22.2,Epigallocatechin gallate (EGCG),0.0007 
AC074117.10,Etoposide,0.0007 
CDKN2B-AS1,Etoposide,0.0007 
RP11-31E23.1,paclitaxel,0.0007 
RP5-1024G6.8,paclitaxel,0.0007 
SETD5-AS1,17beta-estradiol (E(2)),0.0007 
RP11-170L3.8,fludarabine,0.0007 
SENP3-EIF4A1,anabolic stimulus,0.0007 
PTCHD3P1,metformin,0.0008 
RP11-923I11.1,metformin,0.0008 
CTB-89H12.4,Retinoic Acid,0.0008 
